hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
7048.1.1.0,a+b complex topology,head domain of ScoMcrA,head domain of ScoMcrA,head domain of ScoMcrA,NO_F_NAME
7049.1.1.0,alpha complex topology,sulfur-binding domain (SBD) of ScoMcrA,sulfur-binding domain (SBD) of ScoMcrA,sulfur-binding domain (SBD) of ScoMcrA,NO_F_NAME
10.9.1.0,beta sandwiches,jelly-roll,C-terminal domain of mullusc hemocyanin,C-terminal domain of mullusc hemocyanin,NO_F_NAME
207.2.1.32,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,CatAgl_D2
10.32.1.90,beta sandwiches,jelly-roll,Latrophilin 1 gal_lectin domain,Latrophilin 1 gal_lectin domain,CatAgl_D1
881.1.1.3,a+b three layers,Mog1p/PsbP-like,Mog1p/PsbP-like,Mog1p/PsbP-like,FAP
2004.1.1.27,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,"Kinesin,Kinesin_assoc"
7053.1.1.0,a+b complex topology,oligomerization domain of PprA,oligomerization domain of PprA,oligomerization domain of PprA,NO_F_NAME
7052.1.1.0,a+b two layers,N-terminal domain of PprA,N-terminal domain of PprA,N-terminal domain of PprA,NO_F_NAME
5069.1.1.6,alpha bundles,Transmembrane heme-binding four-helical bundle,Transmembrane heme-binding four-helical bundle,Transmembrane di-heme cytochromes,COX15-CtaA
7085.1.1.1,alpha arrays,Twin-arginine translocation pathway signal,Twin-arginine translocation pathway signal,Twin-arginine translocation pathway signal,FAD-SLDH
7097.1.1.0,a+b two layers,Uncharacterized protein MXAN_0049,Uncharacterized protein MXAN_0049,Uncharacterized protein MXAN_0049,NO_F_NAME
7097.1.1.1,a+b two layers,Uncharacterized protein MXAN_0049,Uncharacterized protein MXAN_0049,Uncharacterized protein MXAN_0049,Imm11
7088.1.1.0,alpha arrays,GPI-anchored protein,GPI-anchored protein,GPI-anchored protein,NO_F_NAME
101.1.11.15,alpha arrays,HTH,HTH,Ribbon-helix-helix,VapB_antitoxin
7082.1.1.1,alpha arrays,N-terminal domain of viral protein A26,N-terminal domain of viral protein A26,N-terminal domain of viral protein A26,Pox_A30L_A26L
7083.1.1.0,beta sandwiches,C-terminal domain of viral protein A26,C-terminal domain of viral protein A26,C-terminal domain of viral protein A26,NO_F_NAME
274.1.1.3,a+b two layers,Pili subunits,Pili subunits,Pili subunits,OmpA
4312.1.1.4,a+b two layers,RelE-like,RelE-like,RelE-like,Gp49
304.57.1.2,a+b two layers,Alpha-beta plaits,Rpp14/Pop5-like,Rpp14/Pop5-like,Pop8
574.1.1.2,alpha bundles,Surp module (SWAP domain),Surp module (SWAP domain),Surp module (SWAP domain),"Surp,PRP21_like_P"
7033.1.1.1,a+b complex topology,Ribonuclease P protein subunit p40,Ribonuclease P protein subunit p40,Ribonuclease P protein subunit p40,Ribonuc_P_40
7010.1.1.0,alpha arrays,Activation-binding domain of RNA polymerase II mediator,Activation-binding domain of RNA polymerase II mediator,Activation-binding domain of RNA polymerase II mediator,NO_F_NAME
10.18.1.0,beta sandwiches,jelly-roll,VPA0735-like,VPA0735-like,NO_F_NAME
330.21.1.0,a+b two layers,dsRBD-like,anti-CRISPR protein AcrF10,anti-CRISPR protein AcrF10,NO_F_NAME
1185.1.1.1,a+b two layers,A hypothetical protein from Neisseria gonorrhoeae,A hypothetical protein from Neisseria gonorrhoeae,A hypothetical protein from Neisseria gonorrhoeae,DUF6911
4230.1.1.1,alpha arrays,DnaD domain,DnaD domain,DnaD domain,DSPc
237.1.1.0,a+b complex topology,ADP-ribosylation,ADP-ribosylation,ADP-ribosylation,NO_F_NAME
4967.1.1.11,alpha bundles,helical bundle domain in reverse transcriptase-like polymerases,helical bundle domain in reverse transcriptase-like polymerases,helical bundle domain in reverse transcriptase-like polymerases,GIIM
7019.1.1.0,alpha duplicates or obligate multimers,anti-CRISPR protein AcrE1,anti-CRISPR protein AcrE1,anti-CRISPR protein AcrE1,NO_F_NAME
5.4.1.0,beta duplicates or obligate multimers,beta-propeller-like,Type VI secretion NADase immunity family 2 (Tni2),Type VI secretion NADase immunity family 2 (Tni2),NO_F_NAME
11.1.4.32,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Prealbumin-like,CBM26
101.1.2.155,alpha arrays,HTH,HTH,winged,Dimerisation2
6041.1.1.0,a+b two layers,DUF1107-like,DUF1107-like,DUF1107-like,NO_F_NAME
3576.2.1.1,a+b complex topology,Cas8-like,Cas8f/Csy1,Cas8f/Csy1,Cas_Csy1
304.158.1.1,a+b two layers,Alpha-beta plaits,CRISPR system Cas5 homologs,CRISPR system Cas5 homologs,Cas_Csy2
304.139.2.1,a+b two layers,Alpha-beta plaits,Cas7-related,CRISPR-associated protein Cas7f/Csy3,Cas_Csy3
330.20.1.0,a+b two layers,dsRBD-like,Anti-CRISPR protein AcrF2,Anti-CRISPR protein AcrF2,NO_F_NAME
10.12.1.50,beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,HTH_26
7011.1.1.1,alpha bundles,RodA transmembrane domain,RodA transmembrane domain,RodA transmembrane domain,FTSW_RODA_SPOVE
1.1.5.39,beta barrels,cradle loop barrel,RIFT-related,FMN-binding split barrel,TssD
2498.1.1.42,mixed a+b and a/b,Zincin-like,"Metalloproteases (""zincins"") catalytic domain","Metalloproteases (""zincins"") catalytic domain",Reprolysin_2
7004.1.1.0,alpha duplicates or obligate multimers,split helical dimerization (SHED) domain,split helical dimerization (SHED) domain,split helical dimerization (SHED) domain,NO_F_NAME
601.54.1.0,alpha bundles,Four-helical up-and-down bundle,low CO2-inducible protein LCI1,low CO2-inducible protein LCI1,NO_F_NAME
304.167.1.1,a+b two layers,Alpha-beta plaits,uncharacterized protein YejG,uncharacterized protein YejG,YejG
7020.1.1.1,few secondary structure elements,Influenza A M2 transmembrane domain,Influenza A M2 transmembrane domain,Influenza A M2 transmembrane domain,Flu_M2
70.4.1.0,beta barrels,beta-clip,"Head decoration protein D (gpD, major capsid protein D)","Head decoration protein D (gpD, major capsid protein D)",NO_F_NAME
7015.1.1.0,alpha bundles,Palmitoyltransferase DHHC transmembrane domain,Palmitoyltransferase DHHC transmembrane domain,Palmitoyltransferase DHHC transmembrane domain,NO_F_NAME
4106.1.1.1,few secondary structure elements,Zinc hairpin stack,Zinc hairpin stack,Zinc hairpin stack,DHHC
7016.1.1.0,extended segments,Palmitoyltransferase DHHC C-terminal domain,Palmitoyltransferase DHHC C-terminal domain,Palmitoyltransferase DHHC C-terminal domain,NO_F_NAME
295.1.1.4,a+b two layers,ssDNA-binding transcriptional regulator domain-like,ssDNA-binding transcriptional regulator domain,ssDNA-binding transcriptional regulator domain,COMM_domain
7021.1.1.1,alpha bundles,viral membrane assembly protein A6 homolog,viral membrane assembly protein A6 homolog,viral membrane assembly protein A6 homolog,Pox_A6
5060.2.1.2,alpha bundles,V-type ATP synthase subunit C,Toxin coregulated pilus biosynthesis protein E cytoplasmic domain,Toxin coregulated pilus biosynthesis protein E cytoplasmic domain,Spore_III_AB
354.1.1.3,few secondary structure elements,Sea anemone toxin k-like,Sea anemone toxin k-related,Sea anemone toxin k-related,PLAC
7023.1.1.0,alpha bundles,helical ridge domain of D-alanyl transfer protein,helical ridge domain of D-alanyl transfer protein,helical ridge domain of D-alanyl transfer protein,NO_F_NAME
7022.1.1.0,alpha bundles,central core domain of D-alanyl transfer protein,central core domain of D-alanyl transfer protein,central core domain of D-alanyl transfer protein,NO_F_NAME
3435.1.1.2,a+b two layers,Recombination-associated protein rdgC,Recombination-associated protein rdgC,Recombination-associated protein rdgC,CENP-N
207.1.1.10,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Leucine-rich repeats,Leucine-rich repeats,NO_F_NAME
2008.1.1.72,a/b three-layered sandwiches,Restriction endonuclease-like,Restriction endonuclease-like,Restriction endonuclease-like,Spo16_N
102.1.1.46,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,SAM domain-like,Spo16_C
5051.1.1.6,alpha complex topology,Sodium:neurotransmitter symporter family (SNF)-like,Sodium:neurotransmitter symporter family (SNF)-like,Sodium:neurotransmitter symporter family (SNF)-like,Aa_trans
6006.1.1.0,extended segments,Voltage gated calcium channel IQ domain,Voltage gated calcium channel IQ domain,Voltage gated calcium channel IQ domain,NO_F_NAME
7024.1.1.1,a+b duplicates or obligate multimers,"Dimerization domain of lysinoalanine synthase, DurN","Dimerization domain of lysinoalanine synthase, DurN","Dimerization domain of lysinoalanine synthase, DurN",DurN
633.23.1.3,alpha bundles,Bromodomain-like,Claudin,Claudin,L_HMGIC_fpl
101.1.21.0,alpha arrays,HTH,HTH,HTH in T7 RNA polymerase,NO_F_NAME
7001.1.1.0,alpha complex topology,palm insertion domain of RNAP2,palm insertion domain of RNAP2,palm insertion domain of RNAP2,NO_F_NAME
7046.1.1.0,a+b complex topology,RNAi suppressor protein CrPV-1A,RNAi suppressor protein CrPV-1A,RNAi suppressor protein CrPV-1A,NO_F_NAME
7025.1.1.2,alpha bundles,LIN9-LIN52 heterodimer,LIN9-LIN52 heterodimer,LIN9-LIN52 heterodimer,LIN9_C
129.1.1.13,alpha arrays,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,Staph_opine_DH
2003.1.1.64,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,Staph_opine_DH
132.1.1.0,alpha bundles,ACP-like,Acyl-carrier protein (ACP),Acyl-carrier protein (ACP),NO_F_NAME
1073.1.1.0,alpha arrays,Mitochondrial calcium uniporter (MCU),Mitochondrial calcium uniporter (MCU),Mitochondrial calcium uniporter (MCU),NO_F_NAME
4993.1.1.2,extended segments,Glu-tRNAGln amidotransferase C subunit,Glu-tRNAGln amidotransferase C subunit,Glu-tRNAGln amidotransferase C subunit,AtzG-like
109.4.1.97,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,"TPR_2,TPR_12"
2003.1.2.27,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,FAD/NAD(P)-binding domain,SE
244.1.1.11,a+b two layers,"FAD-linked reductases, C-terminal domain-like",FAD-linked reductases-C,FAD-linked reductases-C,SE
101.1.2.201,alpha arrays,HTH,HTH,winged,MTR4-like_stalk
103.1.1.19,alpha arrays,RuvA-C,"RuvA-C, UBA, CRAL/TRIO-N, HBS1","RuvA-C, UBA, CRAL/TRIO-N, HBS1",HYPK_UBA
7014.1.1.1,alpha bundles,Undecaprenyl pyrophosphate phosphatase (UppP) transmembrane domain,Undecaprenyl pyrophosphate phosphatase (UppP) transmembrane domain,Undecaprenyl pyrophosphate phosphatase (UppP) transmembrane domain,BacA
7034.1.1.1,alpha arrays,Protein A6 N-terminal domain,Protein A6 N-terminal domain,Protein A6 N-terminal domain,Pox_A6
7026.1.1.1,beta meanders,N-terminal region of lipid transporter Vps13,N-terminal region of lipid transporter Vps13,N-terminal region of lipid transporter Vps13,"Chorein_N,VPS13_ext_chorein"
9.2.1.2,beta barrels,Lipocalins/Streptavidin,Avidin/Streptavidin,Avidin/Streptavidin,Vac_ImportDeg
4212.1.1.0,beta barrels,FimD N-terminal domain-like,FimD N-terminal domain-like,FimD N-terminal domain-like,NO_F_NAME
7050.1.1.1,few secondary structure elements,Npl4 zinc binding domain,Npl4 zinc binding domain,Npl4 zinc binding domain,zf-NPL4
7050.1.1.0,few secondary structure elements,Npl4 zinc binding domain,Npl4 zinc binding domain,Npl4 zinc binding domain,NO_F_NAME
2492.1.1.0,a+b three layers,Cytidine deaminase-like,Cytidine deaminase-like,Cytidine deaminase-like,NO_F_NAME
7051.1.1.1,alpha arrays,C-terminal domain of Npl4,C-terminal domain of Npl4,C-terminal domain of Npl4,NPL4
1202.1.1.0,few secondary structure elements,barrettide A,barrettide A,barrettide A,NO_F_NAME
145.1.1.4,alpha arrays,F-box domain,F-box domain,F-box domain,ASXH
7008.1.1.1,alpha arrays,N-terminal domain of hexon-associated protein (IIIa),N-terminal domain of hexon-associated protein (IIIa),N-terminal domain of hexon-associated protein (IIIa),Hex_IIIa
7009.1.1.0,alpha bundles,Middle domain of hexon-associated protein (IIIa),Middle domain of hexon-associated protein (IIIa),Middle domain of hexon-associated protein (IIIa),NO_F_NAME
323.1.1.8,a+b complex topology,CoA-dependent acyltransferases,CoA-dependent acyltransferases,CoA-dependent acyltransferases,WS_DGAT_cat
532.2.1.0,alpha arrays,Type III secretion system domain-like,Type III secretion system domains,Type III secretion system domains,NO_F_NAME
7032.1.1.0,a+b two layers,Paratox,Paratox,Paratox,NO_F_NAME
331.1.1.4,a+b two layers,TBP-like,TATA-box binding protein-like,TATA-box binding protein-like,BRF1
7563.1.1.6,a/b three-layered sandwiches,MCP/YpsA-related,MCP/YpsA-related,MCP/YpsA-related,LSDAT_euk
5051.1.1.5,alpha complex topology,Sodium:neurotransmitter symporter family (SNF)-like,Sodium:neurotransmitter symporter family (SNF)-like,Sodium:neurotransmitter symporter family (SNF)-like,Na_Ala_symp
4.16.1.2,beta barrels,SH3,PhtA domain-like,PhtA domain-like,"Strep_his_triad,PHtD_u1"
4169.1.2.0,a+b three layers,Coronavirus spike protein receptor-binding domain,Coronavirus spike protein receptor-binding domain,Alpha-coronavirus spike protein receptor-binding domain,NO_F_NAME
2011.1.1.4,a/b three-layered sandwiches,Phosphorylase/hydrolase-like,Zn-dependent exopeptidases,Zn-dependent exopeptidases,"Peptidase_M17,DUF3663"
2498.1.1.30,mixed a+b and a/b,Zincin-like,"Metalloproteases (""zincins"") catalytic domain","Metalloproteases (""zincins"") catalytic domain","Peptidase_M78,ScfRs"
223.1.1.17,a+b three layers,Profilin-like,sensor domains,sensor domains,ScfRs
205.1.1.14,a+b two layers,4Fe-4S ferredoxin,4Fe-4S ferredoxin,4Fe-4S ferredoxin,Fer4_2
237.1.1.11,a+b complex topology,ADP-ribosylation,ADP-ribosylation,ADP-ribosylation,RES
101.30.1.1,alpha arrays,HTH,Rv2175c,Rv2175c,Xre_MbcA_ParS_C
11.1.4.17,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Prealbumin-like,AlgF
10.1.1.55,beta sandwiches,jelly-roll,Concanavalin A-like,Concanavalin A-like lectins/glucanases,PL28
11.12.1.2,beta sandwiches,Immunoglobulin-like beta-sandwich,Nicotinic receptor ligand binding domain-like,Nicotinic receptor ligand binding domain-like,"Neur_chan_LBD,Neur_chan_memb"
929.1.1.0,beta duplicates or obligate multimers,Resistin,Resistin,Resistin,NO_F_NAME
7089.1.1.0,a+b two layers,"Methane monooxygenase hydroxylase, MmoD","Methane monooxygenase hydroxylase, MmoD","Methane monooxygenase hydroxylase, MmoD",NO_F_NAME
109.3.1.6,alpha superhelices,Repetitive alpha hairpins,Ankyrin repeat,Ankyrin repeat,TRP_2
1205.2.1.0,a+b two layers,C-terminal domain of CdiA toxin,C-terminal domain of P. aeruginosa CdiA,C-terminal domain of P. aeruginosa CdiA,NO_F_NAME
7075.1.1.0,a+b two layers,uncharacterized protein SAMEA2273162_06031,uncharacterized protein SAMEA2273162_06031,uncharacterized protein SAMEA2273162_06031,NO_F_NAME
327.13.1.4,a+b two layers,Alpha-lytic protease prodomain-like,Ring-building motif I in type III secretion system,Ring-building motif I in type III secretion system,Spore_III_AF
109.4.1.134,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,SPIN90_LRD
292.3.1.0,a+b two layers,RIP/Polo-box domain,TipC soluble domain,TipC soluble domain,NO_F_NAME
11.1.1.95,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Shr-like_HID
11.1.1.244,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Cadherin_5
4992.1.1.0,extended segments,RelB-like,RelB-like,RelB-like,NO_F_NAME
7059.1.1.0,a+b complex topology,SatS C-terminal domain,SatS C-terminal domain,SatS C-terminal domain,NO_F_NAME
7062.1.1.1,alpha bundles,Helical domain of retinal degeneration 3 protein,Helical domain of retinal degeneration 3 protein,Helical domain of retinal degeneration 3 protein,RD3
4095.1.1.0,alpha bundles,ATP-dependent DNA ligase DNA-binding domain,ATP-dependent DNA ligase DNA-binding domain,ATP-dependent DNA ligase DNA-binding domain,NO_F_NAME
7066.1.1.0,alpha complex topology,First helical domain of Cas13b,First helical domain of Cas13b,First helical domain of Cas13b,NO_F_NAME
7067.1.1.0,a+b complex topology,Lid domain of Cas13b,Lid domain of Cas13b,Lid domain of Cas13b,NO_F_NAME
7068.1.1.0,alpha bundles,Second helical domain of Cas13b,Second helical domain of Cas13b,Second helical domain of Cas13b,NO_F_NAME
1035.1.1.0,extended segments,Alpha-crystallin B chain N-terminal domain,Alpha-crystallin B chain N-terminal domain,Alpha-crystallin B chain N-terminal domain,NO_F_NAME
1134.1.1.1,alpha bundles,C-terminal helical domain of alanine-tRNA ligase,C-terminal helical domain of alanine-tRNA ligase,Eukaryotic C-Ala helical domain,ApoC-I
210.1.2.7,a+b four layers,Ntn/PP2C,Ntn,"Penicillin acylase, catalytic domain",NAAA-beta
210.1.2.0,a+b four layers,Ntn/PP2C,Ntn,"Penicillin acylase, catalytic domain",NO_F_NAME
7054.1.1.0,beta sandwiches,Mucin-like region of HAP2,Mucin-like region of HAP2,Mucin-like region of HAP2,NO_F_NAME
7055.1.1.1,beta complex topology,Domain II of HAP2,Domain II of HAP2,Domain II of HAP2,HAP2-GCS1
12.4.1.1,beta sandwiches,Glycosyl hydrolase domain-like,"V-region of surface antigen I/II (SA I/II, PAC)","V-region of surface antigen I/II (SA I/II, PAC)",NO_F_NAME
2.27.1.0,beta barrels,OB-fold,phage L capsid decoration protein,phage L capsid decoration protein,NO_F_NAME
109.61.1.0,alpha superhelices,Repetitive alpha hairpins,Uncharacterized protein PF2048.1,Uncharacterized protein PF2048.1,NO_F_NAME
3755.4.1.0,alpha bundles,YscO-like,Phosphatidylinositol 3-kinase regulatory subunit inter-SH2 domain,Phosphatidylinositol 3-kinase regulatory subunit inter-SH2 domain,NO_F_NAME
5050.1.1.6,alpha complex topology,Major facilitator superfamily (MFS) general substrate transporter,Major facilitator superfamily (MFS) general substrate transporter,Major facilitator superfamily (MFS) general substrate transporter,OATP
71.1.1.1,beta meanders,Lipoprotein localization factors LolAB,Lipoprotein localization factors LolAB,Lipoprotein localization factors LolAB,Ependymin
386.1.1.33,few secondary structure elements,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,zf-C2H2_11
4974.1.2.0,alpha bundles,CRISPR-Cas system first helical domain,CRISPR-Cas system first helical domain,CRISPR-Cas effector Cas13d first helical domain,NO_F_NAME
1149.1.2.0,alpha bundles,CRISPR-Cas system second helical domain,CRISPR-Cas system second helical domain,CRISPR-Cas effector Cas13d second helical domain,NO_F_NAME
601.7.4.0,alpha bundles,Four-helical up-and-down bundle,HEPN,HEPN2 domain in CRISPR-Cas effector Cas13d,NO_F_NAME
601.7.3.0,alpha bundles,Four-helical up-and-down bundle,HEPN,HEPN1 domain in CRISPR-Cas effector Cas13d,NO_F_NAME
7086.1.1.0,beta barrels,CRISPR-Cas effector Cas13d N-terminal domain,CRISPR-Cas effector Cas13d N-terminal domain,CRISPR-Cas effector Cas13d N-terminal domain,NO_F_NAME
1.4.1.1,beta barrels,cradle loop barrel,N-terminal domain of poxin,N-terminal domain of poxin,Baculo_p26
7063.1.1.0,a/b three-layered sandwiches,C-terminal domain of poxin,C-terminal domain of poxin,C-terminal domain of poxin,NO_F_NAME
